"V1","V2","V3","V4","V5","V6","V7","V8"
-0.009498242,-0.021091905,-0.026794589,-0.039547376,-0.033307343,-0.028307869,-0.027386309,-0.026728962
-0.015689511,-0.026467663,-0.028792629,-0.039049035,-0.034159968,-0.0268127,-0.027556838,-0.030444808
-0.027725273,-0.028290802,-0.032958902,-0.040219987,-0.036733282,-0.028500579,-0.028927738,-0.041028944
-0.025780095,-0.025807553,-0.032319118,-0.038675666,-0.036159372,-0.027558679,-0.027286527,-0.039238169
-0.023221202,-0.022599329,-0.031030894,-0.037410703,-0.035837376,-0.028169479,-0.025896779,-0.037148649
-0.02567229,-0.020651655,-0.032752932,-0.040473412,-0.027942359,-0.023338667,-0.024689993,-0.038295513
-0.020021963,-0.021797828,-0.033107347,-0.039635307,-0.028271802,-0.023527236,-0.021675999,-0.034152555
-0.018735942,-0.020679591,-0.032699033,-0.038365682,-0.026892626,-0.017108106,-0.020452201,-0.033473483
-0.021497055,-0.022255261,-0.033797951,-0.040216556,-0.029890107,-0.018412584,-0.021733665,-0.034098028
-0.032418565,-0.027943147,-0.038668153,-0.042741301,-0.035646549,-0.022560186,-0.027481451,-0.035999034
-0.023762777,-0.035592969,-0.037922778,-0.04081529,-0.034406513,-0.03333895,-0.025542031,-0.029404586
-0.025722078,-0.036627859,-0.03886171,-0.041572173,-0.036530519,-0.03410342,-0.024342666,-0.028781874
-0.027953962,-0.03717829,-0.03656157,-0.043584015,-0.040244588,-0.037409067,-0.02674535,-0.030164182
-0.028714192,-0.0376884,-0.048770905,-0.04415929,-0.046534048,-0.036900349,-0.02715524,-0.029930898
-0.020778589,-0.034316999,-0.048537656,-0.041930761,-0.047060984,-0.037337828,-0.025703712,-0.025522061
-0.027578036,-0.036629905,-0.049727391,-0.042720895,-0.04747544,-0.037740404,-0.038469523,-0.025966503
-0.025402785,-0.036043414,-0.049748328,-0.043066978,-0.049011212,-0.039502677,-0.039106772,-0.024737856
-0.039691073,-0.042547489,-0.057826304,-0.056177941,-0.04837963,-0.040472689,-0.037642874,-0.031473442
-0.03260488,-0.040521882,-0.058615908,-0.05596222,-0.050214804,-0.04169031,-0.037692607,-0.026897461
-0.032083446,-0.039904749,-0.055004019,-0.056101379,-0.049661573,-0.040867044,-0.046184302,-0.028902242
-0.037638569,-0.037195124,-0.068435059,-0.058827604,-0.046599027,-0.053097117,-0.045101833,-0.051860033
-0.050390888,-0.035996684,-0.074938156,-0.057615757,-0.046573574,-0.048911293,-0.045742406,-0.052818802
-0.05137573,-0.036257957,-0.077102286,-0.05800754,-0.047089885,-0.049554621,-0.045612148,-0.052333716
-0.053530673,-0.040364126,-0.0711374,-0.057451112,-0.055598592,-0.049424721,-0.043311744,-0.049249071
-0.052196743,-0.039869391,-0.068685218,-0.057199945,-0.053382064,-0.046548427,-0.042599612,-0.050000053
-0.053955921,-0.039926735,-0.069585035,-0.055543273,-0.053202523,-0.047912227,-0.041314712,-0.054058861
-0.055708273,-0.04158778,-0.069804885,-0.055422354,-0.054351607,-0.050057841,-0.040780959,-0.054035776
-0.0573183,-0.043292486,-0.067427926,-0.054835708,-0.052476375,-0.050684675,-0.040255044,-0.054939656
-0.05651221,-0.051581988,-0.073737109,-0.060264444,-0.04746006,-0.05022721,-0.041349982,-0.054822107
-0.056159574,-0.053336917,-0.07521459,-0.062290983,-0.04749685,-0.054256721,-0.041769761,-0.052628207
-0.054440918,-0.04820835,-0.075367576,-0.067048063,-0.056581511,-0.054228529,-0.041591041,-0.052966655
-0.055483359,-0.047763344,-0.079338788,-0.068084371,-0.057955961,-0.055845804,-0.041944085,-0.052194985
-0.054597862,-0.048909284,-0.076635508,-0.064033839,-0.054913488,-0.054695071,-0.041249886,-0.053481765
-0.053176462,-0.049880238,-0.071164405,-0.063899382,-0.053456118,-0.053698544,-0.041018206,-0.053638339
