"V1","V2","V3","V4","V5","V6","V7","V8"
-0.0668799133079895,-0.0597710565290549,-0.0457422610687189,-0.0711135320145289,-0.052975747962723,-0.0672795386772343,-0.0759638592686763,-0.0653123150073292
-0.0610760246820118,-0.0578917288206575,-0.0500840487748581,-0.0712080888791443,-0.0570321895434716,-0.0627229519290984,-0.07637818674261,-0.0703553026921727
-0.068506542432303,-0.0541816379239495,-0.0499237080550506,-0.0704028950758953,-0.053640280698559,-0.0639696607840573,-0.0815580622407809,-0.0703992771849201
-0.0596261993581709,-0.0505342416176042,-0.0428717186201095,-0.0712567354587327,-0.0465558805448489,-0.0632098704727058,-0.0667882508405714,-0.06564834640052
-0.0540522735520525,-0.0545736894160654,-0.0446376608480646,-0.0772693070512871,-0.0509333659046557,-0.0660943058803184,-0.0678658053460857,-0.0656130942994548
-0.0601466255736412,-0.0551436090873682,-0.0477249771252657,-0.0798511767295924,-0.0563489393663417,-0.0631693395087308,-0.0729739559994492,-0.0792713662223142
-0.0601526537970261,-0.053299255304043,-0.0556276890453519,-0.0706905898316139,-0.0511971077681584,-0.0591827740147802,-0.0730507505760971,-0.0649920535174049
-0.062638592564844,-0.0578357500360545,-0.052329363969446,-0.0697384037945285,-0.0545911442173832,-0.0644266100744788,-0.0718772962888221,-0.0788771056491745
-0.057862067812091,-0.0542146494057803,-0.0417451872065236,-0.0684492796364717,-0.053470802300721,-0.0579996532260157,-0.0619453583096794,-0.0771935783506338
-0.0661626141870247,-0.0576787530564866,-0.0469784151067081,-0.0719422000636677,-0.0547065194922263,-0.07068698626851,-0.0671873128652827,-0.0629885418623745
-0.0610177800678964,-0.0534976009079488,-0.0493469636649124,-0.0749746373039701,-0.0583155005887618,-0.0719285787157536,-0.0636720410413487,-0.0700552341210343
-0.0631004574011391,-0.052177739515981,-0.058753818196348,-0.0768103563910896,-0.0554530496469268,-0.0697652909478988,-0.063853582591365,-0.0672597607041175
-0.0671245468424295,-0.0597698668116554,-0.0528062777752013,-0.067196990053482,-0.067672629787076,-0.0715838194422961,-0.0794439018408735,-0.0766868573058933
-0.0687193609739167,-0.0642829567171984,-0.0600060588948669,-0.0688529218480845,-0.0540608596011063,-0.0637198425944774,-0.0907280900966557,-0.0691872022354614
-0.0693753647869256,-0.0625256791494598,-0.0569331727021499,-0.0827766507598967,-0.0637514187020169,-0.0820431741850636,-0.0736399276580732,-0.0741275892061422
-0.0723252040581665,-0.0625567032511137,-0.0290581951259234,-0.0796830811736811,-0.0562411153894091,-0.0802418466777287,-0.0646163618067962,-0.0827212924635847
-0.0687153639109715,-0.0518502844789451,-0.0523064114593795,-0.0700597167291601,-0.0586931347139523,-0.0747850437479818,-0.06077245388543,-0.0565052735888425
-0.0597106842712569,-0.0595120721070984,-0.0510419288541976,-0.0678455934164086,-0.0541670625913612,-0.0671266938606979,-0.0582534932681303,-0.0714063612625361
